"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"timepoint"	"total_reads"	"dups_removed"	"reads_kept"	"dups_percentage"
"SC89_NKI_12P_R17C52yesS_A_W_B2_S1277"	653457	493040	0.25	34	0.972	"kept"	FALSE	0.29	"primary"	653457	160417	493040	0.245489756785833
"SC89_NKI_12P_R17C56yesS_A_W_B1_S1281"	1054146	825330	0.22	57	0.988	"kept"	FALSE	0.3	"primary"	1054146	228816	825330	0.217062911589097
"SC89_NKI_12P_R17C57yesS_A_W_B1_S1282"	882167	704441	0.2	49	0.987	"kept"	FALSE	0.31	"primary"	882167	177726	704441	0.201465255444831
"SC89_NKI_12P_R17C60yesS_A_W_B1_S1285"	978669	756676	0.23	53	0.983	"kept"	FALSE	0.28	"primary"	978669	221993	756676	0.226831543657764
"SC89_NKI_12P_R17C63yesS_A_W_B2_S1288"	698784	539744	0.23	35	0.962	"kept"	FALSE	0.33	"primary"	698784	159040	539744	0.227595365663782
"SC89_NKI_12P_R17C65yesS_A_W_B2_S1290"	1237811	948247	0.23	66	0.983	"kept"	FALSE	0.31	"primary"	1237811	289564	948247	0.233932320847044
"SC89_NKI_12P_R17C67yesS_A_W_B2_S1292"	1113403	852991	0.23	59	0.852	"kept"	FALSE	0.38	"primary"	1113403	260412	852991	0.233888358482957
"SC89_NKI_12P_R17C7yesS_A_W_B1_S1232"	527014	400783	0.24	29	0.854	"kept"	TRUE	0.02	"primary"	527014	126231	400783	0.239521151240764
"SC89_NKI_12P_R18C12yesS_A_W_C2_S1309"	433873	340910	0.21	23	0.458	"removed"	FALSE	0.63	"primary"	433873	92963	340910	0.214263159956946
"SC89_NKI_12P_R18C43yesS_A_W_C1_S1340"	519734	390362	0.25	26	0.973	"kept"	FALSE	0.33	"primary"	519734	129372	390362	0.248919639661827
"SC89_NKI_12P_R18C49yesS_A_W_C2_S1346"	150317	134643	0.1	9	0.887	"kept"	FALSE	0.24	"primary"	150317	15674	134643	0.104272969790509
"SC89_NKI_12P_R18C50yesS_A_W_C2_S1347"	665378	511054	0.23	35	0.906	"kept"	FALSE	0.33	"primary"	665378	154324	511054	0.231934329058069
"SC89_NKI_12P_R18C52yesS_A_W_C2_S1349"	715552	531638	0.26	37	0.981	"kept"	FALSE	0.3	"primary"	715552	183914	531638	0.257023947945083
"SC89_NKI_12P_R18C55yesS_A_W_C1_S1352"	681730	518521	0.24	36	0.523	"removed"	FALSE	0.45	"primary"	681730	163209	518521	0.239404162938407
"SC89_NKI_12P_R18C57yesS_A_W_C1_S1354"	827704	657006	0.21	46	0.983	"kept"	FALSE	0.28	"primary"	827704	170698	657006	0.206230729826121
"SC89_NKI_12P_R19C0yesS_A_W_C1_S1369"	967734	743167	0.23	51	0.98	"kept"	FALSE	0.27	"primary"	967734	224567	743167	0.232054469513317
"SC89_NKI_12P_R19C14yesS_A_W_C2_S1383"	257255	194708	0.24	14	0.479	"removed"	FALSE	0.6	"primary"	257255	62547	194708	0.243132300635556
"SC89_NKI_12P_R19C15yesS_A_W_C2_S1384"	632898	474335	0.25	32	0.982	"kept"	FALSE	0.3	"primary"	632898	158563	474335	0.250534841317242
"SC89_NKI_12P_R19C16yesS_A_W_C2_S1385"	856453	667406	0.22	46	0.967	"kept"	FALSE	0.32	"primary"	856453	189047	667406	0.220732486195973
"SC89_NKI_12P_R19C26yesS_A_W_C1_S1395"	802950	626570	0.22	44	0.964	"kept"	FALSE	0.26	"primary"	802950	176380	626570	0.219664985366461
"SC89_NKI_12P_R19C27yesS_A_W_C2_S1396"	702473	528985	0.25	36	0.98	"kept"	FALSE	0.32	"primary"	702473	173488	528985	0.246967499106727
"SC89_NKI_12P_R19C28yesS_A_W_C2_S1397"	825630	647296	0.22	45	0.985	"kept"	FALSE	0.27	"primary"	825630	178334	647296	0.215997480711699
"SC89_NKI_12P_R19C31yesS_A_W_C2_S1400"	671774	507488	0.24	37	0.487	"removed"	TRUE	0.07	"primary"	671774	164286	507488	0.244555460616219
"SC89_NKI_12P_R19C45yesS_A_W_C2_S1414"	884923	695935	0.21	49	0.985	"kept"	FALSE	0.3	"primary"	884923	188988	695935	0.213564344016372
"SC89_NKI_12P_R19C46yesS_A_W_C2_S1415"	941033	729577	0.22	51	0.979	"kept"	FALSE	0.27	"primary"	941033	211456	729577	0.224706253659542
"SC89_NKI_12P_R19C48yesS_A_W_C2_S1417"	566125	445428	0.21	31	0.971	"kept"	FALSE	0.33	"primary"	566125	120697	445428	0.213198498564805
"SC89_NKI_12P_R19C51yesS_A_W_C2_S1420"	691507	536877	0.22	38	0.987	"kept"	FALSE	0.27	"primary"	691507	154630	536877	0.223613065377502
"SC89_NKI_12P_R19C54yesS_A_W_C1_S1423"	419969	339641	0.19	24	0.961	"kept"	FALSE	0.31	"primary"	419969	80328	339641	0.191271260497799
"SC89_NKI_12P_R19C58yesS_A_W_C1_S1427"	569649	447868	0.21	30	0.977	"kept"	FALSE	0.34	"primary"	569649	121781	447868	0.213782522219823
"SC89_NKI_12P_R19C5yesS_A_W_C1_S1374"	828955	634553	0.23	44	0.977	"kept"	FALSE	0.27	"primary"	828955	194402	634553	0.234514539389955
"SC89_NKI_12P_R19C63yesS_A_W_C2_S1432"	469522	353331	0.25	24	0.974	"kept"	FALSE	0.33	"primary"	469522	116191	353331	0.247466572386384
"SC89_NKI_12P_R19C65yesS_A_W_C2_S1434"	722320	525539	0.27	37	0.907	"kept"	FALSE	0.15	"primary"	722320	196781	525539	0.272429117288736
"SC89_NKI_12P_R19C6yesS_A_W_C1_S1375"	1080964	806614	0.25	55	0.978	"kept"	FALSE	0.27	"primary"	1080964	274350	806614	0.253801236673932
"SC89_NKI_12P_R19C70yesS_A_W_C2_S1439"	414073	344646	0.17	24	0.974	"kept"	FALSE	0.28	"primary"	414073	69427	344646	0.167668502896832
"SC89_NKI_12P_R1C10yesS_A_W_A2_S83"	1203391	909244	0.24	65	0.806	"kept"	TRUE	0.03	"primary"	1203391	294147	909244	0.244431776538133
"SC89_NKI_12P_R1C20yesS_A_W_A1_S93"	1104020	840640	0.24	58	0.971	"kept"	FALSE	0.3	"primary"	1104020	263380	840640	0.238564518758718
"SC89_NKI_12P_R1C23yesS_A_W_A1_S96"	1009636	752374	0.25	51	0.933	"kept"	FALSE	0.33	"primary"	1009636	257262	752374	0.254806682804496
"SC89_NKI_12P_R1C29yesS_A_W_A2_S102"	1387939	1059912	0.24	73	0.974	"kept"	FALSE	0.31	"primary"	1387939	328027	1059912	0.236341078390333
"SC89_NKI_12P_R1C38yesS_A_W_A1_S111"	1103852	838577	0.24	59	0.923	"kept"	FALSE	0.32	"primary"	1103852	265275	838577	0.240317542569113
"SC89_NKI_12P_R1C41yesS_A_W_A1_S114"	961494	722149	0.25	51	0.971	"kept"	FALSE	0.26	"primary"	961494	239345	722149	0.248930310537559
"SC89_NKI_12P_R1C45yesS_A_W_A2_S118"	422525	319548	0.24	21	0.824	"kept"	FALSE	0.33	"primary"	422525	102977	319548	0.243718123187977
"SC89_NKI_12P_R1C47yesS_A_W_A2_S120"	507174	384091	0.24	26	0.892	"kept"	FALSE	0.34	"primary"	507174	123083	384091	0.242683970392804
"SC89_NKI_12P_R1C4yesS_A_W_A1_S77"	852539	634271	0.26	46	0.56	"removed"	TRUE	0.05	"primary"	852539	218268	634271	0.25602113217108
"SC89_NKI_12P_R1C50yesS_A_W_A2_S123"	960607	729958	0.24	50	0.987	"kept"	FALSE	0.27	"primary"	960607	230649	729958	0.24010755699261
