"sample"	"reads_total"	"reads_assigned_bins"	"percentage_duplicates"	"median_bin_count"	"filter_corr_value"	"filtered"	"is_normal"	"find_normal_cv"	"TotalReads"	"DupsRemoved"	"ReadsKept"	"MedianBinCount"	"dups_percentage"
"SC242_2_R14C55yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1064_R1_001"	833393	714080	0.14	54	0.385	"removed"	FALSE	0.14	833393	119313	714080	54	0.143165349360986
"SC242_2_R14C56yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1065_R1_001"	717139	602368	0.16	44	0.995	"kept"	FALSE	0.3	717139	114771	602368	44	0.160040103801355
"SC242_2_R14C59yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1068_R1_001"	773551	667712	0.14	49	0.995	"kept"	FALSE	0.29	773551	105839	667712	49	0.136822265112449
"SC242_2_R14C5yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1014_R1_001"	714985	609980	0.15	45	0.996	"kept"	FALSE	0.29	714985	105005	609980	45	0.146863220906732
"SC242_2_R14C60yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1069_R1_001"	633595	542439	0.14	40	0.912	"kept"	FALSE	0.25	633595	91156	542439	40	0.143871084841263
"SC242_2_R14C61yesS_SC242_2_BCM_DCIS_28T_A_W_B1_S1070_R1_001"	693850	588402	0.15	43	0.994	"kept"	FALSE	0.29	693850	105448	588402	43	0.151975210780428
"SC242_2_R14C64yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1073_R1_001"	450693	388425	0.14	28	0.996	"kept"	FALSE	0.29	450693	62268	388425	28	0.138160566061598
"SC242_2_R14C65yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1074_R1_001"	663597	555081	0.16	42	0.258	"removed"	TRUE	0.02	663597	108516	555081	42	0.163526959886799
"SC242_2_R14C66yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1075_R1_001"	806480	692090	0.14	51	0.868	"kept"	FALSE	0.32	806480	114390	692090	51	0.141838607281024
"SC242_2_R14C67yesS_SC242_2_BCM_DCIS_28T_A_W_B2_S1076_R1_001"	722317	602369	0.17	46	0.331	"removed"	TRUE	0.03	722317	119948	602369	46	0.166060053965226
