"","timepoint","cell_num","mpd","sample"
"378","primary","175","1208.61280635356","nki12_p12"
"379","primary","200","1239.00755011208","nki12_p12"
"380","primary","225","1237.55633663167","nki12_p12"
"381","primary","250","1255.69411349215","nki12_p12"
"382","primary","275","1244.90376855851","nki12_p12"
"383","primary","300","1269.30802307583","nki12_p12"
"384","primary","325","1292.87374471182","nki12_p12"
"385","primary","350","1279.8456863306","nki12_p12"
"386","primary","375","1302.76463993817","nki12_p12"
"387","primary","400","1310.58370983032","nki12_p12"
"388","primary","425","1276.73109341846","nki12_p12"
"389","primary","450","1325.89336983954","nki12_p12"
"390","primary","475","1344.94471778594","nki12_p12"
"391","primary","500","1315.65197552603","nki12_p12"
"392","primary","525","1309.28248752538","nki12_p12"
"393","recurrence","50","896.110348268979","nki12_p12"
"394","recurrence","75","994.103445929941","nki12_p12"
"395","recurrence","100","1027.38642971502","nki12_p12"
"396","recurrence","125","1096.97923135072","nki12_p12"
"397","recurrence","150","1115.38966659259","nki12_p12"
"398","recurrence","175","1136.20736811258","nki12_p12"
"399","recurrence","200","1183.12164236455","nki12_p12"
"400","recurrence","225","1157.3755175137","nki12_p12"
"401","recurrence","250","1189.94579379537","nki12_p12"
"402","recurrence","275","1202.08726244355","nki12_p12"
"403","recurrence","300","1198.82271157668","nki12_p12"
"404","recurrence","325","1194.92553202086","nki12_p12"
